ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,category1Description,category2Description,category3Description,category4Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.Eqeqeq,Require the use of `===` and `!==`,"Require the use of `===` and `!==` 
See [rule details](https://eslint.org/docs/latest/rules/eqeqeq)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.LogicalAssignmentOperators,Require or disallow logical assignment operator shorthand,"Require or disallow logical assignment operator shorthand 
See [rule details](https://eslint.org/docs/latest/rules/logical-assignment-operators)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.MultilineCommentStyle,Enforce a particular style for multiline comments,"Enforce a particular style for multiline comments 
See [rule details](https://eslint.org/docs/latest/rules/multiline-comment-style)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoDivRegex,Disallow equal signs explicitly at the beginning of regular expressions,"Disallow equal signs explicitly at the beginning of regular expressions 
See [rule details](https://eslint.org/docs/latest/rules/no-div-regex)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoElseReturn,Disallow else blocks after return statements in if statements,"Disallow else blocks after return statements in if statements 
See [rule details](https://eslint.org/docs/latest/rules/no-else-return)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoExtraBind,Disallow unnecessary calls to `.bind()`,"Disallow unnecessary calls to `.bind()` 
See [rule details](https://eslint.org/docs/latest/rules/no-extra-bind)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoExtraLabel,Disallow unnecessary labels,"Disallow unnecessary labels 
See [rule details](https://eslint.org/docs/latest/rules/no-extra-label)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoImplicitCoercion,Disallow shorthand type conversions,"Disallow shorthand type conversions 
See [rule details](https://eslint.org/docs/latest/rules/no-implicit-coercion)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoLonelyIf,Disallow if statements as the only statement in else blocks,"Disallow if statements as the only statement in else blocks 
See [rule details](https://eslint.org/docs/latest/rules/no-lonely-if)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
maven,org.openrewrite.recipe:rewrite-codemods,org.openrewrite.codemods.cleanup.javascript.NoUndefInit,Disallow initializing variables to undefined,"Disallow initializing variables to undefined 
See [rule details](https://eslint.org/docs/latest/rules/no-undef-init)",3,,Javascript,Cleanup,JavaScript Codemods,,,,Recipes that run JavaScript codemods.,,"[{""name"":""org.openrewrite.codemods.ESLintMessages"",""displayName"":""ESLint messages"",""description"":""Errors and warnings as reported by ESLint."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source Path"",""description"":""The source path of the file.""},{""name"":""ruleId"",""type"":""String"",""displayName"":""Rule ID"",""description"":""ESLint Rule ID.""},{""name"":""severity"",""type"":""Severity"",""displayName"":""Severity"",""description"":""Either `Warning` or `Error`.""},{""name"":""fatal"",""type"":""boolean"",""displayName"":""Fatal"",""description"":""Is this a fatal error (like a parse error).""},{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""The message created by the rule.""},{""name"":""line"",""type"":""int"",""displayName"":""Line"",""description"":""Line in source file this message pertains to.""},{""name"":""column"",""type"":""int"",""displayName"":""Column"",""description"":""Column in source file this message pertains to.""}]}]"
